id,name,price,stock,description,image,active,user_id
1,wort enhancer lotion,37,10,"bloody, puss-filled, you name it",s7.jpg,TRUE,1
2,distant children laughing soundtrack,20,30,hahaha hahahaha,s9.jpg,TRUE,4
3,creaky floor soundtrack,46,5,"Demons in fallen angel non terror decomposed rotten teeth. Willow trees undead wind, unknown ripped needles. Children creepy deranged, ashes a killer a, monster mental hospital. Captive Agony deteriorated, fatal o.",s34.jpg,TRUE,5
4,flickering lightbulbs,39,31,"Chilling is, grotesque Halloween exorcism. Serial killer, heart pumping at eyeballs killer dolls, chains edginess slicing horror, mental hospital putrid psychopath an possession. Shriek terror shadow, darkness in tense ac, Motionless drowning Full moon. Kille.",s10.jpg,TRUE,3
5,fog machine,52,28,"Scourge scared, drowning helpless sheep at, terrifying and crazy gory. Flames at crazy slicing with murderer gore. Mental hospital sliced drowning. chainsaw dread full moon, pushed at alley bruises, children is knife. Willow trees undead wind, unknown ripped needles. Breathin.",s3.jpg,TRUE,5
6,occult altars,10,5,"Heavily hell and rabid anthrax fanatic tearing at a squeal. Willow trees undead wind, unknown ripped needles. Needles at bowels alarming. screams exorcism oozed smashed. Evil Michael Myers decomposed corpse. Buried non guts claw and creature hair-raising decapitated at est. Horror bowels exorcism grave cut, murderer creature ripped. Shriek terror shadow, darkness in tense ac, Motionles.",s11.jpg,TRUE,1
7,black candles,36,26,pack of three,s12.jpg,TRUE,4
8,disappearing wall paint,52,38,for bloody messages,s13.jpg,TRUE,2
9,one-way mirrors,24,6,"Drowning Full moon. Witch ashes eyeball undead, in bury burn hell flames. Gnarled hazardous, gore Michael Myers grave ripped, trapped daring rotten worms, vampire monstrosity bleak are at flesh. Breathing heavily damp, cold and crying running, stalking slicing stabbing dripping (blood), is creaking screaming 666 at kettle. Breathing heavily hell and rabid anthrax fanatic tearing at a squeal. Breathing heavily hell and rabid anthrax fanatic tearing at a squeal. chainsaw dread full moon, pushed at alley bruises, children i.",s14.jpg,TRUE,3
10,spy paintings,12,38,painting with eye holes cut out,s15.jpg,TRUE,1
11,tattered dress,52,34,"Knife. Buried non guts claw and creature hair-raising decapitated at est. Dark mutilation rotten, Blood hair raising or, blood i.",s17.jpg,TRUE,2
